name,Line_Item,figures,Period_Type,Period,Year,Report,State,url_1,index1,figure_type
HOLLYWOOD CASINO,HOLLYWOOD CASINO,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,0,Online Sports Wagering
HOLLYWOOD CASINO,Total Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,1,not_figure
HOLLYWOOD CASINO,Handle*,1414587,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,2,Total Sports Wagering
HOLLYWOOD CASINO,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,3,Total Sports Wagering
HOLLYWOOD CASINO,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,4,Total Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),508997,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,5,Total Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),173059,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,6,Total Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),10180,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,7,Total Sports Wagering
HOLLYWOOD CASINO,Retail Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,8,not_figure
HOLLYWOOD CASINO,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,9,Retail Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,10,Retail Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,11,Retail Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,12,Retail Sports Wagering
HOLLYWOOD CASINO,Online Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,13,not_figure
HOLLYWOOD CASINO,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,14,Online Sports Wagering
HOLLYWOOD CASINO,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,15,Online Sports Wagering
HOLLYWOOD CASINO,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,16,Online Sports Wagering
HOLLYWOOD CASINO,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,17,Online Sports Wagering
HOLLYWOOD CASINO,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,18,Online Sports Wagering
HOLLYWOOD CASINO,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,19,Online Sports Wagering
HOLLYWOOD CASINO,,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Barstool,20,not_figure
RIVERS - PITTSBURGH,RIVERS,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,21,not_figure
RIVERS - PITTSBURGH,Total Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,22,not_figure
RIVERS - PITTSBURGH,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,23,Total Sports Wagering
RIVERS - PITTSBURGH,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,24,Total Sports Wagering
RIVERS - PITTSBURGH,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,25,Total Sports Wagering
RIVERS - PITTSBURGH,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,26,Total Sports Wagering
RIVERS - PITTSBURGH,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,27,Total Sports Wagering
RIVERS - PITTSBURGH,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,28,Total Sports Wagering
RIVERS - PITTSBURGH,Retail Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,29,not_figure
RIVERS - PITTSBURGH,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,30,Retail Sports Wagering
RIVERS - PITTSBURGH,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,31,Retail Sports Wagering
RIVERS - PITTSBURGH,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,32,Retail Sports Wagering
RIVERS - PITTSBURGH,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,33,Retail Sports Wagering
RIVERS - PITTSBURGH,Online Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,34,not_figure
RIVERS - PITTSBURGH,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,35,Online Sports Wagering
RIVERS - PITTSBURGH,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,36,Online Sports Wagering
RIVERS - PITTSBURGH,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,37,Online Sports Wagering
RIVERS - PITTSBURGH,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,38,Online Sports Wagering
RIVERS - PITTSBURGH,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,39,Online Sports Wagering
RIVERS - PITTSBURGH,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,40,Online Sports Wagering
RIVERS - PITTSBURGH,,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,BetRivers,41,not_figure
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),SUGARHOUSE CASINO,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,42,not_figure
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Total Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,43,not_figure
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,44,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,45,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,46,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,47,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,48,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,49,Total Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Retail Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,50,not_figure
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,51,Retail Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,52,Retail Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),State Tax Due (34%) ,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,53,Retail Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,54,Retail Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Online Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,55,not_figure
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,56,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,57,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,58,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,59,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),State Tax Due (34%) ,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,60,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,61,Online Sports Wagering
RIVERS - PHILADELPHIA (FORMERLY SUGARHOUSE),,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,SugarHouse,62,not_figure
PARX CASINO,PARX CASINO,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,63,not_figure
PARX CASINO,Total Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,64,not_figure
PARX CASINO,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,65,Total Sports Wagering
PARX CASINO,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,66,Total Sports Wagering
PARX CASINO,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,67,Total Sports Wagering
PARX CASINO,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,68,Total Sports Wagering
PARX CASINO,State Tax Due (34%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,69,Total Sports Wagering
PARX CASINO,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,70,Total Sports Wagering
PARX CASINO,Retail Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,71,not_figure
PARX CASINO,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,72,Retail Sports Wagering
PARX CASINO,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,73,Retail Sports Wagering
PARX CASINO,State Tax Due (34%) ,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,74,Retail Sports Wagering
PARX CASINO,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,75,Retail Sports Wagering
PARX CASINO,Online Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,76,not_figure
PARX CASINO,Handle*,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,77,Online Sports Wagering
PARX CASINO,Revenue,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,78,Online Sports Wagering
PARX CASINO,Promotional Credits,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,79,Online Sports Wagering
PARX CASINO,Gross Revenue (Taxable),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,80,Online Sports Wagering
PARX CASINO,State Tax Due (34%) ,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,81,Online Sports Wagering
PARX CASINO,Local Share Assessment (2%),,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,82,Online Sports Wagering
PARX CASINO,,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,Parx,83,not_figure
SOUTH PHILADELPHIA RACE AND SPORTSBOOK,SOUTH PHILADELPHIA RACE AND SPORTSBOOK,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,none,84,not_figure
SOUTH PHILADELPHIA RACE AND SPORTSBOOK,Total Sports Wagering,,Monthly,Nov,2018,MONTHLY Sports Wagering Report,PA,none,85,not_figure
